#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|/tmp/prngSample-XORUint64Xorshift.bin|  8.30e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.35444841|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|     100|0.00000000|  FAILED  
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED  
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000008|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED  
 diehard_parking_lot|   0|     12000|     100|0.78148856|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.29511135|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.42740867|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.62943916|  PASSED  
        diehard_runs|   0|    100000|     100|0.11555554|  PASSED  
        diehard_runs|   0|    100000|     100|0.54431205|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.08334268|  PASSED  
            sts_runs|   2|    100000|     100|0.00007646|   WEAK   
          sts_serial|   1|    100000|     100|0.10758751|  PASSED  
          sts_serial|   2|    100000|     100|0.00000000|  FAILED  
          sts_serial|   3|    100000|     100|0.00021708|   WEAK   
          sts_serial|   3|    100000|     100|0.41020299|  PASSED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000003|  FAILED  
          sts_serial|   5|    100000|     100|0.00000003|  FAILED  
          sts_serial|   6|    100000|     100|0.00218580|   WEAK   
          sts_serial|   6|    100000|     100|0.17162372|  PASSED  
          sts_serial|   7|    100000|     100|0.03780779|  PASSED  
          sts_serial|   7|    100000|     100|0.04757567|  PASSED  
          sts_serial|   8|    100000|     100|0.00628430|  PASSED  
          sts_serial|   8|    100000|     100|0.04342209|  PASSED  
          sts_serial|   9|    100000|     100|0.00204060|   WEAK   
          sts_serial|   9|    100000|     100|0.00005542|   WEAK   
          sts_serial|  10|    100000|     100|0.00001168|   WEAK   
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000065|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00775242|  PASSED  
